style	disposition	alias_review	justification	extends_parent	band	best_target	similarity	exact_parity	compat_score	csl_reach
springer-humanities-author-date	move-to-community	no	near-clone band		near-clone	chicago-author-date-classic	0.9783	0.164	0.925	
springer-humanities-brackets	move-to-community	no	near-clone band		near-clone	elsevier-with-titles	0.9728	0.299	0.94	
springer-mathphys-author-date	move-to-community	yes	alias band with CSL-metadata dependency evidence		alias	springer-basic-author-date-no-et-al	1.0000	0.104	0.91	
springer-mathphys-brackets	move-to-community	yes	alias band with CSL-metadata dependency evidence		alias	elsevier-with-titles	1.0000	0.299	0.94	201
springer-physics-author-date	move-to-community	no	near-clone band		near-clone	springer-basic-author-date-no-et-al	0.9710	0.229	0.843	
springer-physics-brackets	move-to-community	yes	alias band with CSL-metadata dependency evidence		alias	angewandte-chemie	1.0000	0.29	0.913	
springer-socpsych-author-date	move-to-community	yes	alias band with CSL-metadata dependency evidence		alias	american-geophysical-union	1.0000	0.239	0.985	317
springer-socpsych-brackets	move-to-community	yes	alias band with CSL-metadata dependency evidence		alias	elsevier-with-titles	1.0000	0.299	0.985	
springer-vancouver-author-date	move-to-community	yes	alias band with CSL-metadata dependency evidence		alias	springer-basic-author-date-no-et-al	1.0000	0.06	1	
taylor-and-francis-council-of-science-editors-author-date	move-to-community	yes	alias band with CSL-metadata dependency evidence		alias	cse-name-year	0.9928	0.194	0.94	
taylor-and-francis-national-library-of-medicine	move-to-community	yes	alias band with CSL-metadata dependency evidence		alias	hawaii-international-conference-on-system-sciences-proceedings	0.9891	0.209	1	
the-company-of-biologists	move-to-community	yes	alias band with CSL-metadata dependency evidence		alias	karger-journals-author-date	1.0000	0.254	0.97	
the-geological-society-of-london	move-to-community	no	near-clone band		near-clone	inter-research-science-center	0.9754	0.149	0.985	
the-institution-of-engineering-and-technology	move-to-community	yes	alias band with CSL-metadata dependency evidence		alias	ieee	0.9876	0.209	0.955	
the-optical-society	move-to-community	yes	alias band with CSL-metadata dependency evidence	ieee	alias	elsevier-with-titles	1.0000	0.299	0.866	
thieme-german	move-to-community	yes	alias band with CSL-metadata dependency evidence		alias	elsevier-with-titles	1.0000	0.239	0.97	74
thomson-reuters-legal-tax-and-accounting-australia	keep-exemplar	no	Rust test fixture					0	0.824	
trends-journals	move-to-community	yes	alias band with CSL-metadata dependency evidence		alias	elsevier-with-titles	1.0000	0.299	0.955	
numeric-comp	keep-exemplar	no	sole compound-numeric / biblatex-authority exemplar; only shipped style exercising collapse-subentries and the biblatex verification apparatus					0	0.936	
